state,hospital,bedsAvailable,totalBeds,ventilatorsAvailable,resourcesDispatched,phoneLabel,phone,sourceUrl,lastUpdated
Andhra Pradesh,Andhra Medical College Visakhapatnam,18,120,15,5,Ambulance,108,https://hmfw.ap.gov.in/,2026-01-05T18:00:00.000Z
Andhra Pradesh,Guntur Medical College,16,110,14,4,Ambulance,108,https://hmfw.ap.gov.in/,2026-01-05T18:00:00.000Z
Andhra Pradesh,Kurnool Medical College,14,100,12,4,Ambulance,108,https://hmfw.ap.gov.in/,2026-01-05T18:00:00.000Z
Andhra Pradesh,Rangaraya Medical College Kakinada,12,90,10,3,Ambulance,108,https://hmfw.ap.gov.in/,2026-01-05T18:00:00.000Z
Andhra Pradesh,Sri Venkateswara Medical College Tirupati,14,95,11,3,State Control Room,104,https://hmfw.ap.gov.in/,2026-01-05T18:00:00.000Z
Andhra Pradesh,Government Medical College Anantapur,10,80,9,2,Ambulance,108,https://hmfw.ap.gov.in/,2026-01-05T18:00:00.000Z
Andhra Pradesh,Government Medical College Ongole,9,70,8,2,Ambulance,108,https://hmfw.ap.gov.in/,2026-01-05T18:00:00.000Z
Andhra Pradesh,Government Medical College Eluru,8,65,7,2,State Control Room,104,https://hmfw.ap.gov.in/,2026-01-05T18:00:00.000Z

Arunachal Pradesh,Tomo Riba Institute Naharlagun,8,60,6,2,Ambulance,108,https://health.arunachal.gov.in/,2026-01-05T18:00:00.000Z
Arunachal Pradesh,Ramakrishna Mission Hospital Itanagar,6,50,5,1,Ambulance,108,https://health.arunachal.gov.in/,2026-01-05T18:00:00.000Z
Arunachal Pradesh,General Hospital Pasighat,5,40,4,1,State Control Room,104,https://health.arunachal.gov.in/,2026-01-05T18:00:00.000Z
Arunachal Pradesh,General Hospital Tawang,4,30,3,1,Ambulance,108,https://health.arunachal.gov.in/,2026-01-05T18:00:00.000Z
Arunachal Pradesh,General Hospital Ziro,4,30,3,1,Ambulance,108,https://health.arunachal.gov.in/,2026-01-05T18:00:00.000Z
Arunachal Pradesh,General Hospital Bomdila,3,25,3,1,State Control Room,104,https://health.arunachal.gov.in/,2026-01-05T18:00:00.000Z
Arunachal Pradesh,General Hospital Aalo,3,25,2,1,Ambulance,108,https://health.arunachal.gov.in/,2026-01-05T18:00:00.000Z
Arunachal Pradesh,General Hospital Roing,3,25,2,1,Ambulance,108,https://health.arunachal.gov.in/,2026-01-05T18:00:00.000Z

Assam,Assam Medical College Dibrugarh,12,40,8,3,State Control Room,1800-000-000,https://hfw.assam.gov.in/,2026-01-05T18:00:00.000Z
Assam,Guwahati Medical College Hospital,18,60,10,4,Ambulance,108,https://hfw.assam.gov.in/,2026-01-05T18:00:00.000Z
Assam,Silchar Medical College,15,50,8,3,Ambulance,108,https://hfw.assam.gov.in/,2026-01-05T18:00:00.000Z
Assam,FAAMCH Barpeta,10,40,6,2,State Control Room,1800-000-000,https://hfw.assam.gov.in/,2026-01-05T18:00:00.000Z
Assam,Tezpur Medical College,9,35,6,2,Ambulance,108,https://hfw.assam.gov.in/,2026-01-05T18:00:00.000Z
Assam,Lakhimpur Medical College,8,30,5,2,Ambulance,108,https://hfw.assam.gov.in/,2026-01-05T18:00:00.000Z
Assam,Nalbari Medical College,7,30,5,1,State Control Room,1800-000-000,https://hfw.assam.gov.in/,2026-01-05T18:00:00.000Z
Assam,Kokrajhar Medical College,6,25,4,1,Ambulance,108,https://hfw.assam.gov.in/,2026-01-05T18:00:00.000Z

Bihar,PMCH Patna,22,160,20,7,Ambulance,108,https://state.bihar.gov.in/health/,2026-01-05T18:00:00.000Z
Bihar,NMCH Patna,18,140,16,6,Ambulance,108,https://state.bihar.gov.in/health/,2026-01-05T18:00:00.000Z
Bihar,DMCH Darbhanga,16,120,14,5,State Control Room,104,https://state.bihar.gov.in/health/,2026-01-05T18:00:00.000Z
Bihar,IGIMS Patna,14,110,12,4,Ambulance,108,https://state.bihar.gov.in/health/,2026-01-05T18:00:00.000Z
Bihar,JLNMCH Bhagalpur,12,100,10,3,Ambulance,108,https://state.bihar.gov.in/health/,2026-01-05T18:00:00.000Z
Bihar,SKMCH Muzaffarpur,12,95,10,3,Ambulance,108,https://state.bihar.gov.in/health/,2026-01-05T18:00:00.000Z
Bihar,GMCH Bettiah,10,80,8,2,State Control Room,104,https://state.bihar.gov.in/health/,2026-01-05T18:00:00.000Z
Bihar,VIMS Pawapuri,9,70,7,2,Ambulance,108,https://state.bihar.gov.in/health/,2026-01-05T18:00:00.000Z

Chhattisgarh,AIIMS Raipur,24,170,22,8,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Mekahara Hospital Raipur,16,120,14,5,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Bilaspur Medical College,14,100,12,4,State Control Room,104,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Rajnandgaon Medical College,12,90,10,3,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Jagdalpur Medical College,10,80,8,2,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Ambikapur Medical College,9,70,7,2,State Control Room,104,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Kanker District Hospital,8,60,6,2,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Durg District Hospital,8,60,6,2,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z

Goa,Goa Medical College Bambolim,12,90,10,3,Ambulance,108,https://www.goa.gov.in/health/,2026-01-05T18:00:00.000Z
Goa,North Goa District Hospital,8,60,6,2,Ambulance,108,https://www.goa.gov.in/health/,2026-01-05T18:00:00.000Z
Goa,South Goa District Hospital,8,60,6,2,State Control Room,104,https://www.goa.gov.in/health/,2026-01-05T18:00:00.000Z
Goa,Asilo Hospital Mapusa,6,50,5,1,Ambulance,108,https://www.goa.gov.in/health/,2026-01-05T18:00:00.000Z
Goa,Cottage Hospital Bicholim,5,40,4,1,Ambulance,108,https://www.goa.gov.in/health/,2026-01-05T18:00:00.000Z
Goa,CHC Canacona,4,35,3,1,State Control Room,104,https://www.goa.gov.in/health/,2026-01-05T18:00:00.000Z
Goa,CHC Pernem,4,35,3,1,Ambulance,108,https://www.goa.gov.in/health/,2026-01-05T18:00:00.000Z
Goa,CHC Quepem,4,35,3,1,Ambulance,108,https://www.goa.gov.in/health/,2026-01-05T18:00:00.000Z

Gujarat,Civil Hospital Ahmedabad,30,220,28,10,Ambulance,108,https://gujhealth.gujarat.gov.in/,2026-01-05T18:00:00.000Z
Gujarat,SSG Hospital Vadodara,20,150,18,6,Ambulance,108,https://gujhealth.gujarat.gov.in/,2026-01-05T18:00:00.000Z
Gujarat,New Civil Hospital Surat,18,140,16,5,Ambulance,108,https://gujhealth.gujarat.gov.in/,2026-01-05T18:00:00.000Z
Gujarat,Civil Hospital Rajkot,16,120,14,4,State Control Room,104,https://gujhealth.gujarat.gov.in/,2026-01-05T18:00:00.000Z
Gujarat,Civil Hospital Bhavnagar,14,110,12,4,Ambulance,108,https://gujhealth.gujarat.gov.in/,2026-01-05T18:00:00.000Z
Gujarat,Civil Hospital Jamnagar,12,100,10,3,Ambulance,108,https://gujhealth.gujarat.gov.in/,2026-01-05T18:00:00.000Z
Gujarat,Civil Hospital Junagadh,10,90,8,2,State Control Room,104,https://gujhealth.gujarat.gov.in/,2026-01-05T18:00:00.000Z
Gujarat,Civil Hospital Gandhinagar,10,90,8,2,Ambulance,108,https://gujhealth.gujarat.gov.in/,2026-01-05T18:00:00.000Z

Karnataka,Bangalore Medical College,28,160,22,8,Ambulance,108,https://karunadu.karnataka.gov.in/health/,2026-01-05T18:00:00.000Z
Karnataka,Mysore Medical College,20,130,16,6,Ambulance,108,https://karunadu.karnataka.gov.in/health/,2026-01-05T18:00:00.000Z
Karnataka,Hubli KIMS,16,110,14,5,State Control Room,104,https://karunadu.karnataka.gov.in/health/,2026-01-05T18:00:00.000Z
Karnataka,Shimoga Medical College,14,100,12,4,Ambulance,108,https://karunadu.karnataka.gov.in/health/,2026-01-05T18:00:00.000Z
Karnataka,Hassan Medical College,12,90,10,3,Ambulance,108,https://karunadu.karnataka.gov.in/health/,2026-01-05T18:00:00.000Z
Karnataka,Raichur Medical College,10,80,8,2,State Control Room,104,https://karunadu.karnataka.gov.in/health/,2026-01-05T18:00:00.000Z
Karnataka,Chamarajanagar Medical College,8,70,6,2,Ambulance,108,https://karunadu.karnataka.gov.in/health/,2026-01-05T18:00:00.000Z
Karnataka,Gulbarga Institute of Medical Sciences,8,70,6,2,Ambulance,108,https://karunadu.karnataka.gov.in/health/,2026-01-05T18:00:00.000Z

Kerala,Government Medical College Thiruvananthapuram,26,180,22,8,Ambulance,108,https://health.kerala.gov.in/,2026-01-05T18:00:00.000Z
Kerala,Government Medical College Kozhikode,22,160,20,7,Ambulance,108,https://health.kerala.gov.in/,2026-01-05T18:00:00.000Z
Kerala,Government Medical College Kottayam,18,140,16,6,Ambulance,108,https://health.kerala.gov.in/,2026-01-05T18:00:00.000Z
Kerala,Government Medical College Thrissur,16,130,14,5,Ambulance,108,https://health.kerala.gov.in/,2026-01-05T18:00:00.000Z
Kerala,Government Medical College Alappuzha,14,120,12,4,State Control Room,1056,https://health.kerala.gov.in/,2026-01-05T18:00:00.000Z
Kerala,Government Medical College Manjeri,12,100,10,3,Ambulance,108,https://health.kerala.gov.in/,2026-01-05T18:00:00.000Z
Kerala,Government Medical College Kannur,10,90,8,2,Ambulance,108,https://health.kerala.gov.in/,2026-01-05T18:00:00.000Z
Kerala,Government Medical College Idukki,8,70,6,2,Ambulance,108,https://health.kerala.gov.in/,2026-01-05T18:00:00.000Z

Tamil Nadu,Rajiv Gandhi Government General Hospital Chennai,32,220,28,10,Ambulance,108,http://www.tnhealth.tn.gov.in/,2026-01-05T18:00:00.000Z
Tamil Nadu,Stanley Medical College Chennai,26,180,22,8,Ambulance,108,http://www.tnhealth.tn.gov.in/,2026-01-05T18:00:00.000Z
Tamil Nadu,Madurai Medical College,22,160,20,7,Ambulance,108,http://www.tnhealth.tn.gov.in/,2026-01-05T18:00:00.000Z
Tamil Nadu,Coimbatore Medical College,20,150,18,6,Ambulance,108,http://www.tnhealth.tn.gov.in/,2026-01-05T18:00:00.000Z
Tamil Nadu,Thanjavur Medical College,18,140,16,5,Ambulance,108,http://www.tnhealth.tn.gov.in/,2026-01-05T18:00:00.000Z
Tamil Nadu,Tirunelveli Medical College,16,130,14,4,Ambulance,108,http://www.tnhealth.tn.gov.in/,2026-01-05T18:00:00.000Z
Tamil Nadu,Salem Medical College,14,120,12,4,State Control Room,104,http://www.tnhealth.tn.gov.in/,2026-01-05T18:00:00.000Z
Tamil Nadu,Vellore Medical College,12,110,10,3,Ambulance,108,http://www.tnhealth.tn.gov.in/,2026-01-05T18:00:00.000Z

West Bengal,SSKM Hospital Kolkata,30,210,26,9,Ambulance,108,https://www.wbhealth.gov.in/,2026-01-05T18:00:00.000Z
West Bengal,NRS Medical College Kolkata,26,190,22,8,Ambulance,108,https://www.wbhealth.gov.in/,2026-01-05T18:00:00.000Z
West Bengal,Medical College Kolkata,24,180,20,7,Ambulance,108,https://www.wbhealth.gov.in/,2026-01-05T18:00:00.000Z
West Bengal,RG Kar Medical College,22,170,18,6,Ambulance,108,https://www.wbhealth.gov.in/,2026-01-05T18:00:00.000Z
West Bengal,North Bengal Medical College,18,150,16,5,Ambulance,108,https://www.wbhealth.gov.in/,2026-01-05T18:00:00.000Z
West Bengal,Burdwan Medical College,16,140,14,4,State Control Room,104,https://www.wbhealth.gov.in/,2026-01-05T18:00:00.000Z
West Bengal,Bankura Sammilani Medical College,14,120,12,4,Ambulance,108,https://www.wbhealth.gov.in/,2026-01-05T18:00:00.000Z
West Bengal,Malda Medical College,12,110,10,3,Ambulance,108,https://www.wbhealth.gov.in/,2026-01-05T18:00:00.000Z

Haryana,PGIMS Rohtak,20,140,16,6,Ambulance,108,https://haryanahealth.nic.in/,2026-01-05T18:00:00.000Z
Haryana,ESIC Medical College Faridabad,16,120,14,5,Ambulance,108,https://haryanahealth.nic.in/,2026-01-05T18:00:00.000Z
Haryana,Civil Hospital Gurugram,14,100,12,4,Ambulance,108,https://haryanahealth.nic.in/,2026-01-05T18:00:00.000Z
Haryana,Civil Hospital Panipat,12,90,10,3,State Control Room,104,https://haryanahealth.nic.in/,2026-01-05T18:00:00.000Z
Haryana,Civil Hospital Hisar,12,90,10,3,Ambulance,108,https://haryanahealth.nic.in/,2026-01-05T18:00:00.000Z
